GeneName	GeneID	Chr	Start	Stop	X10007541	X10007542	X10007544	X10007547	X10007548	X10007549	X10007554	X10007556	X10007557	X10007558	X10007559	X10007561	X10007562	X10007563	X10007564	X10007565	X10007566	X10007567	X10007569	X10007578	X10007581	X10007583	X10007584	X10007587	X10007589	X10007590	X10007594	X10007595	X10007599	X10007602	X10007603	X10007605	X10007606	X10007607	X10007608	X10007610	X10007613	X10007615	X10007616
KRT3	ENSG00000186442	chr12	52789685	52796117	-4.543159687	-3.883772343	-3.954219918	-4.92232312	-4.710498888	-4.543159687	3.703722264	-4.710498888	2.833298869	-4.710498888	-4.810827446	3.881008552	3.1029915	-4.623754543	-3.699090163	-4.543159687	-4.623754543	-4.401166866	-4.810827446	3.561644549	-4.039141616	-4.465568924	-4.623754543	-5.053314741	-4.92232312	-5.053314741	-4.543159687	-4.277739883	-5.414935422	-3.780580156	4.843198785	-5.202485321	-4.623754543	-5.053314741	-4.177216431	5.119349013	3.977902468	-4.543159687	-3.310844128
SERPINA3	ENSG00000196136	chr14	94612384	94624055	-2.441856703	-0.148378289	-3.670774782	0.650308932	-2.472854342	-2.378589605	-0.204079847	-0.633013306	-2.702673855	-1.383322169	-2.378589605	-0.040925634	-1.138169258	-1.732241622	-1.371391964	0.71989726	-1.561225716	-3.226609307	2.318132068	-0.352219534	-3.016583338	0.43478326	-2.190506582	-0.449633473	0.730652217	-2.398488584	-1.291200445	-1.371391964	-1.923739634	-0.209303115	-2.190506582	0.098743861	-0.57414307	-0.197149	-0.212092703	-0.460314109	-2.589680977	-0.311895057	-2.21317362
SERPINA3_2	ENSG00000273259	chr14	94592058	94624646	-1.636536034	0.395009827	-3.101571109	1.297790688	-1.838420556	-1.584637016	0.414796733	0.029881235	-1.630116287	-0.709505803	-1.671437819	0.554552425	-0.342524093	-0.816361997	-0.607387844	1.300413529	-0.919939194	-2.712696741	2.854199824	0.310849027	-2.420561576	0.99929818	-1.428137301	0.243638301	1.273319088	-1.633165717	-0.667898465	-0.548773892	-1.109765415	0.284103886	-1.273891309	0.709191683	0.091378806	0.419678339	0.513198023	0.19267076	-1.90209655	0.408519779	-1.608079938
PTGDS	ENSG00000107317	chr9	136977505	136985435	2.272598566	2.748780457	1.176718784	2.773782781	2.710275445	0.500289024	2.771007101	3.16288732	2.574028194	2.968810595	1.294255705	4.043078659	2.288742648	1.296062996	2.998135728	3.449160022	1.975085928	0.096649915	3.370847653	3.256266343	2.148513859	3.390212463	2.487400641	2.807839886	3.692066728	1.344989044	1.93175709	2.260186316	1.429025384	3.091563861	1.706379727	3.417007992	4.409426232	3.807629558	3.269253681	3.017130206	1.535034849	3.631642769	1.470319785
MST1	ENSG00000173531	chr3	49683947	49689501	3.4584521	1.350688868	1.941023547	2.041235256	1.227239459	3.345538905	1.675515353	2.096399102	2.554459514	1.836941065	2.268038165	0.692020589	1.906330331	3.675663078	3.164927384	1.00494897	1.026561062	1.124080316	2.379833357	2.558935591	1.981888002	0.755286775	1.116628033	2.598588934	0.211225571	1.432913812	2.51555058	2.298049046	2.2365786	2.16886972	2.620084582	2.867083745	2.712433088	2.211309571	1.136927119	1.314134041	2.307224935	1.933618883	2.423295174
HLA-DQA1	ENSG00000196735	chr6	32628179	32647062	1.548799794	5.145529363	4.795759337	4.654352488	4.589970431	4.131665183	4.758808596	3.642407388	2.849138358	4.406502046	1.576524071	5.25672236	5.739565246	1.456520131	1.674768377	4.69559271	3.930518288	1.231322134	2.146740455	3.760325192	1.506065973	4.881889733	3.735465281	6.158962869	5.522701492	3.912897546	0.855500608	4.314070976	1.060063127	4.809928823	1.304013549	4.543586894	5.919705801	5.587080776	5.002697658	4.118286692	5.579335963	4.373280903	4.654352488
CTA-250D10.23	ENSG00000260655	chr22	41922023	41923100	0.570170752	1.76404182	-0.180739989	0.955755782	1.687922238	-0.719669104	1.915430037	1.721487636	1.23675257	0.576484957	-1.001661988	2.535542523	0.247044946	-0.112257143	1.076072132	1.533014041	-0.011410251	-1.694421078	3.657981419	1.790807592	0.186472356	1.717549915	0.57871711	0.547721912	1.12310186	0.032817642	1.117570516	1.014507814	0.740240822	2.575912461	0.607313171	1.556868319	2.86026706	2.38595586	0.997916418	2.577229207	-0.32992296	2.30384432	0.485082964
IGHV4-59	ENSG00000224373	chr14	106627249	106627825	5.052226311	3.548758768	3.067688884	6.387504193	6.060995705	3.824078275	5.329354707	6.575632519	4.337314008	6.962952564	4.731686133	4.770534453	4.02593681	3.298120787	4.144398427	4.636393736	3.929635719	3.893261514	4.381070187	5.041331559	5.890755967	5.550524102	4.29889712	5.297306072	4.447621071	3.799701798	2.558306479	2.794084048	5.292058437	7.107937494	4.064704466	5.833956514	6.328479783	7.252758436	6.628499654	6.150289008	4.952323526	5.877588956	5.404383905
CHIT1	ENSG00000133063	chr1	203212827	203273641	-3.456296889	-1.467028238	-0.671606303	2.80236194	3.826037581	1.652880186	-3.333170941	2.250936656	-3.249748052	-1.420738482	-2.722234093	-1.89815532	-3.431460746	-3.136681782	-3.170440976	1.920068563	-1.623638965	2.814890224	-2.190506582	1.073343652	-0.985083734	0.400661721	-2.986580131	-0.110596936	-3.083662543	-1.834696717	-2.472854342	-2.002604028	-2.692829435	2.493638522	0.01553091	-0.84705442	1.226812813	0.274442613	-0.465761047	2.136594744	0.781324612	-0.569602472	-2.808793604
FCRL4	ENSG00000163518	chr1	157573749	157598080	-3.205063325	-0.677933445	-3.310844128	-1.311031674	-1.180203566	-3.918743664	-0.892518885	-0.501434453	-1.750059814	-2.413437792	-2.136571694	0.345638691	-3.136681782	-2.974300805	-1.262469331	0.240193472	-1.793210298	-3.645792065	0.141751018	-1.371391964	-2.775450229	1.289051411	-2.002604028	-2.820288627	-0.475559291	-2.867855959	-2.529202688	-2.472854342	-3.136681782	-0.477739588	-2.683581595	-0.946547972	0.850975698	0.171333283	-0.755350646	-1.590370033	-3.170440976	-1.008219626	-2.457041658
